Cata_ID,Versie,Code,KlasseNaamNed,VerbRGNaamNed,AssocRGNaamNed,SubAssocNaamNed,LandTypeNed,LandTypeWet,Vervallen,Vervangbaarheid,VVNCode,VVNNaam
2,2.0020000000000000e+03,"01A1","EENDEKROOS-KLASSE","Bultkroos-verbond","Associatie van Bultkroos & Wortelloos kroos","nvt","Associatie van Bultkroos en Wortelloos kroos","Wolffio-Lemnetum gibbae",0,5,"01AA01","Wolffio-Lemnetum gibbae"
3,2.0020000000000000e+03,"01A2","EENDEKROOS-KLASSE","Bultkroos-verbond","Associatie van Veelwortelig kroos","nvt","Associatie van Veelwortelig kroos","Lemno-Spirodeletum polyrhizae",0,5,"01AA02","Lemno-Spirodeletum polyrhizae"
5,2.0020000000000000e+03,"01B1a","EENDEKROOS-KLASSE","Puntkroos-verbond","Watervorkjes-associatie","Typische subassociatie","Watervorkjes-associatie, typische subassociatie","Riccietum fluitantis typicum",0,4,"01AB01A","Riccietum fluitantis typicum"
7,2.0020000000000000e+03,"03A2","ZEEGRAS-KLASSE","Zeegras-verbond","Associatie van Groot zeegras","nvt","Associatie van Groot zeegras","Zosteretum marinae",0,1,"3Aa2","Zosteretum marinae"
8,2.0020000000000000e+03,"02A1","RUPPIA-KLASSE","Ruppia-verbond","Associatie van Snavelruppia","nvt","Associatie van Snavelruppia","Ruppietum maritimae",0,1,"02Aa1","Ruppietum maritimae"
9,2.0020000000000000e+03,"02A2","RUPPIA-KLASSE","Ruppia-verbond","Associatie van Spiraalruppia","nvt","Associatie van Spiraalruppia","Ruppietum cirrhosae",0,1,"02Aa2","Ruppietum cirrhosae"
10,2.0020000000000000e+03,"04-a","KRANSWIEREN-KLASSE","RG Breekbaar kransblad","nvt","nvt","RG Breekbaar kransblad-[Kranswieren-klasse]","RG Chara globularis-[Charetea fragilis]",0,3,"4-RG1-[4]","RG Chara globularis-[Charetea fragilis]"
12,2.0020000000000000e+03,"04A1","KRANSWIEREN-KLASSE","Glanswier-verbond","Associatie van Doorschijnend glanswier","nvt","Associatie van Doorschijnend glanswier","Nitelletum translucentis",0,1,"4Aa1","Nitelletum translucentis"
14,2.0020000000000000e+03,"04B2","KRANSWIEREN-KLASSE","Verbond van Stekelharig kransblad","Associatie van Stekelharig kransblad","nvt","Associatie van Stekelharig kransblad","Charetum hispidae",0,1,"4Ba2","Charetum hispidae"
15,2.0020000000000000e+03,"04B3","KRANSWIEREN-KLASSE","Verbond van Stekelharig kransblad","Associatie van Ruw kransblad","nvt","Associatie van Ruw kransblad","Charetum asperae",0,1,"4Ba3","Charetum asperae"
16,2.0020000000000000e+03,"04C1","KRANSWIEREN-KLASSE","Verbond van Gewoon kransblad","Associatie van Gewoon kransblad","nvt","Associatie van Gewoon kransblad","Charetum vulgaris",0,3,"4Bb1","Charetum vulgaris"
17,2.0020000000000000e+03,"04C2","KRANSWIEREN-KLASSE","Verbond van Gewoon kransblad","Associatie van Kleinhoofdig glanswier","nvt","Associatie van Kleinhoofdig glanswier","Lemno-Nitelletum capillaris",0,3,"04BB02","Lemno-Nitelletum capillaris"
18,2.0020000000000000e+03,"04C3","KRANSWIEREN-KLASSE","Verbond van Gewoon kransblad","Associatie van Groot boomglanswier","nvt","Associatie van Groot boomglanswier","Tolypelletum proliferae",0,1,"4Bb3","Tolypelletum proliferae"
19,2.0020000000000000e+03,"04D1a","KRANSWIEREN-KLASSE","Verbond van Brakwater-kransblad","Associatie van Brakwaterglansblad","Typische subassociatie","Assoc. v Brakwaterglansblad, typische subass.","Charetum canescentis typicum",0,1,"4Ca1","Charetum canescentis"
20,2.0020000000000000e+03,"05-a","FONTEINKRUID-KLASSE","RG Drijvend fonteinkruid","nvt","nvt","RG Drijvend fonteinkruid-[Fonteinkruid-klasse]","RG Potamogeton natans-[Potametea]",0,3,,
22,2.0020000000000000e+03,"05-c","FONTEINKRUID-KLASSE","RG Brede waterpest","nvt","nvt","RG Brede waterpest-[Fonteinkruid-klasse]","RG Elodea canadensis-[Potametea]",0,3,"05RG06","RG Elodea canadensis-[Parvopotamion]"
23,2.0020000000000000e+03,"05-d","FONTEINKRUID-KLASSE","RG Grof hoornblad","nvt","nvt","RG Grof hoornblad-[Fonteinkruid-klasse]","RG Ceratophyllum demersum-[Potametea]",0,5,"05RG04","RG Ceratophyllum demersum-[Nupharo-Potametalia]"
24,2.0020000000000000e+03,"05-e","FONTEINKRUID-KLASSE","RG Gewoon sterrekroos","nvt","nvt","RG Gewoon sterrekroos-[Fonteinkruid-klasse]","RG Callitriche platycarpa-[Potametea]",0,3,"5-RG8-[5C]","RG Callitriche platycarpa-[Callitricho-Potametalia]"
25,2.0020000000000000e+03,"05-f","FONTEINKRUID-KLASSE","RG Aarvederkruid","nvt","nvt","RG Aarvederkruid-[Fonteinkruid-klasse]","RG Myriophyllum spicatum-[Potametea]",0,3,"5-RG1-[5]","RG Myriophyllum spicatum-[Potametea]"
26,2.0020000000000000e+03,"05A-a","FONTEINKRUID-KLASSE","Verbond van Gesteelde zannichellia","RG Schedefonteinkruid/Gesteelde zannichellia","nvt","RG Sch.fonteinkr-Gest.zannichellia[Vb.Ges.zann.]","RG Potamogeton pectinatus-[Zannichellion pedic.]",0,5,"5-RG3-[5A]","RG Potamogeton pectinatus-Zannichellia palustris ssp. pedicellata-[Zannichellietalia pedicellatae]"
27,2.0020000000000000e+03,"05A1","FONTEINKRUID-KLASSE","Verbond van Gesteelde zannichellia","Associatie van Fijn hoornblad","nvt","Associatie van Fijn hoornblad","Ceratophylletum submersi",0,1,"5Aa1","Ceratophylletum submersi"
28,2.0020000000000000e+03,"05A2","FONTEINKRUID-KLASSE","Verbond van Gesteelde zannichellia","Associatie van Zilte waterranonkel ","nvt","Associatie van Zilte waterranonkel","Ranunculetum baudotii",0,2,"5Aa2","Ranunculetum baudotii"
30,2.0020000000000000e+03,"05A3b","FONTEINKRUID-KLASSE","Verbond van Gesteelde zannichellia","Associatie van Groot nimfkruid","Subassociatie van Sterkranswier","Ass. v Groot nimfkruid, subass. v Sterkranswier","Najadetum marinae nitellopsidetosum",0,1,"05AA03B","Najadetum marinae nitellopsidetosum"
31,2.0020000000000000e+03,"05B1b","FONTEINKRUID-KLASSE","Waterlelie-verbond","Associatie van Doorgroeid fonteinkruid","Soortenarme subassociatie","Ass. v Doorgroeid fonteinkruid, srt.-arme subass","Ranunculo fluitantis-Potametum perfoliati inops",0,3,"5Ba1","Ranunculo fluitantis-Potametum perfoliati"
32,2.0020000000000000e+03,"05B2a","FONTEINKRUID-KLASSE","Waterlelie-verbond","Associatie van Glanzig fonteinkruid","Typische subassociatie","Assoc. v Glanzig fonteinkruid, typische subass.","Potametum lucentis typicum",0,3,"5Ba2","Potametum lucentis"
34,2.0020000000000000e+03,"05B3a","FONTEINKRUID-KLASSE","Waterlelie-verbond","Associatie van Witte waterlelie & Gele plomp","Typische subassociatie","Ass. Witte waterlelie en Gele plomp, typ. subass","Myriophyllo-Nupharetum typicum",0,3,"5Ba3","Myriophyllo-Nupharetum"
35,2.0020000000000000e+03,"05B4","FONTEINKRUID-KLASSE","Waterlelie-verbond","Watergentiaan-associatie","nvt","Watergentiaan-associatie","Potameto-Nymphoidetum",0,3,"5Ba4","Potameto-Nymphoidetum"
36,2.0020000000000000e+03,"05C1","FONTEINKRUID-KLASSE","Kikkerbeet-verbond","Krabbescheer associatie","nvt","Krabbescheer associatie","Stratiotetum",0,3,"5Bb1","Stratiotetum"
37,2.0020000000000000e+03,"05C2","FONTEINKRUID-KLASSE","Kikkerbeet-verbond","Associatie van Groot blaasjeskruid","nvt","Associatie van Groot blaasjeskruid","Utricularietum vulgaris",0,3,"5Bb2","Utricularietum vulgaris"
38,2.0020000000000000e+03,"05D-a","FONTEINKRUID-KLASSE","Verbond der kleine fonteinkruiden","RG Smalle waterpest/tenger fonteinkruid","nvt","RG Teng.fonteinkr.-Sm.waterpest-[Vb.kl.Fonteink]","RG Potamogeton pusillus-Elodea nutt.-[Parvopot.]",0,3,"05RG05","RG Potamogeton pusillus en Elodea nuttallii-[Parvopotamion]"
40,2.0020000000000000e+03,"05D1","FONTEINKRUID-KLASSE","Verbond der kleine fonteinkruiden","Associatie van Klein fonteinkruid","nvt","Associatie van Klein fonteinkruid","Potametum berchtoldii",0,1,"5Bc1","Potametum berchtoldii"
41,2.0020000000000000e+03,"05D2","FONTEINKRUID-KLASSE","Verbond der kleine fonteinkruiden","Associatie van Paarbladig fonteinkruid","nvt","Associatie van Paarbladig fonteinkruid","Groenlandietum",0,1,"05BC02","Groenlandietum"
42,2.0020000000000000e+03,"05D3","FONTEINKRUID-KLASSE","Verbond der kleine fonteinkruiden","Associatie van Stijve waterranonkel","nvt","Associatie van Stijve waterranonkel","Ranunculetum circinati",0,3,"05BC03","Ranunculetum circinati"
43,2.0020000000000000e+03,"05D4","FONTEINKRUID-KLASSE","Verbond der kleine fonteinkruiden","Associatie van Stomp fonteinkruid","nvt","Associatie van Stomp fonteinkruid","Potametum obtusifolii",0,3,"05BC04","Potametum obtusifolii"
45,2.0020000000000000e+03,"05E1","FONTEINKRUID-KLASSE","Verbond van Grote waterranonkel","Associatie van Waterviolier & Sterrekroos","nvt","Associatie van Waterviolier en Sterrekroos","Callitricho-Hottonietum",0,3,"5Ca1","Callitricho-Hottonietum"
46,2.0020000000000000e+03,"05E2","FONTEINKRUID-KLASSE","Verbond van Grote waterranonkel","Associatie van Klimopwaterranonkel","nvt","Associatie van Klimopwaterranonkel","Ranunculetum hederacei",0,1,"5Ca2","Ranunculetum hederacei"
47,2.0020000000000000e+03,"05E3","FONTEINKRUID-KLASSE","Verbond van Grote waterranonkel","Associatie van Teer vederkruid","nvt","Associatie van Teer vederkruid","Callitricho-Myriophylletum alterniflori",0,1,"5Ca3","Callitricho-Myriophylletum alterniflori"
48,2.0020000000000000e+03,"05E4","FONTEINKRUID-KLASSE","Verbond van Grote waterranonkel","Associatie van Vlottende waterranonkel","nvt","Associatie van Vlottende waterranonkel","Callitricho hamulatae-Ranunculetum fluitantis",0,1,"05Ca4","Callitricho hamulatae-Ranunculetum fluitantis"
49,2.0020000000000000e+03,"06-a","OEVERKRUID-KLASSE","RG Oeverkruid","nvt","nvt","RG Oeverkruid-[Oeverkruid-klasse]","RG Littorella uniflora-[Littorelletea]",0,2,"6-RG1-[6]","RG Littorella uniflora-[Littorelletea]"
50,2.0020000000000000e+03,"06-b","OEVERKRUID-KLASSE","RG Duizendknoopfonteinkruid","nvt","nvt","RG Duizendknoopfonteinkruid-[Oeverkruid-klasse]","RG Potamogeton polygonifolius-[Littorelletea]",0,2,"6-RG2-[6]","RG Potamogeton polygonifolius-[Littorelletea]"
52,2.0020000000000000e+03,"06-d","OEVERKRUID-KLASSE","RG Knolrus/Veenmos (verbindt met Scheuchzerietea)","nvt","nvt","RG Knolrus - Veenmos-[Oeverkr.kl/Kl.hoogveensl.]","RG Juncus bulbosus-Sphagnum-[Littorell/Scheuchz]",0,3,"06-RG4-[6/10]","RG Juncus bulbosus-Sphagnum-[Littorelletea/Scheuchzerietea]"
53,2.0020000000000000e+03,"06/a","OEVERKRUID-KLASSE","DG Witte waterlelie ","nvt","nvt","DG Witte waterlelie-[Oeverkruid-klasse]","DG Nymphaea alba-[Littorelletea]",0,3,,
54,2.0020000000000000e+03,"06A1a","OEVERKRUID-KLASSE","Oeverkruid-verbond","Associatie van Biesvaren & Waterlobelia","Subassociatie van Biesvaren","Ass. Biesvaren en Waterlobelia, subass Biesvaren","Isoeto-Lobelietum isoetetosum",0,1,"6Aa1a","Isoeto-Lobelietum isoetetosum"
55,2.0020000000000000e+03,"06A1b","OEVERKRUID-KLASSE","Oeverkruid-verbond","Associatie van Biesvaren & Waterlobelia","Subassociatie van Veelstengelige waterbies","Ass. Biesvaren-Waterlobel., sub Veelst.waterbies","Isoeto-Lobelietum eleocharitetosum multicaulis",0,1,"6Aa1b","Isoeto-Lobelietum eleocharitetosum"
56,2.0020000000000000e+03,"06A1c","OEVERKRUID-KLASSE","Oeverkruid-verbond","Associatie van Biesvaren & Waterlobelia","Subassociatie van veenmos","Ass. Biesvaren en Waterlobelia, subass. Veenmos","Isoeto-Lobelietum sphagnetosum",0,1,"6Aa1c","Isoeto-Lobelietum sphagnetosum"
57,2.0020000000000000e+03,"06A1d","OEVERKRUID-KLASSE","Oeverkruid-verbond","Associatie van Biesvaren & Waterlobelia","Soortenarme subassociatie","Ass. Biesvaren en Waterlobelia, srt.-arme subass","Isoeto-Lobelietum inops",0,1,"6Aa1d","Isoeto-Lobelietum inops"
59,2.0020000000000000e+03,"06B2","OEVERKRUID-KLASSE","Verbond van Ongelijkbladig fonteinkruid","Associatie van Kleinste egelskop","nvt","Associatie van Kleinste egelskop","Sparganietum minimi",0,1,"06Ab2","Sparganietum minimi"
60,2.0020000000000000e+03,"06C1","OEVERKRUID-KLASSE","Verbond van Waternavel & Stijve moerasweegbree","Pilvaren-associatie","nvt","Pilvaren-associatie","Pilularietum globuliferae",0,1,"6Ac1","Pilularietum globuliferae"
61,2.0020000000000000e+03,"06C2","OEVERKRUID-KLASSE","Verbond van Waternavel & Stijve moerasweegbree","Associatie van Vlottende bies","nvt","Associatie van Vlottende bies","Scirpetum fluitantis",0,1,"6Ac2","Scirpetum fluitantis"
62,2.0020000000000000e+03,"06C3","OEVERKRUID-KLASSE","Verbond van Waternavel & Stijve moerasweegbree","Associatie van Veelstengelige waterbies","nvt","Associatie van Veelstengelige waterbies","Eleocharitetum multicaulis",0,1,"6Ac3","Eleocharitetum multicaulis"
63,2.0020000000000000e+03,"06C4","OEVERKRUID-KLASSE","Verbond van Waternavel & Stijve moerasweegbree","Associatie van Waterpunge & Oeverkruid","nvt","Associatie van Waterpunge en Oeverkruid","Samolo-Littorelletum",0,1,"6Ac4","Samolo-Littorelletum"
64,2.0020000000000000e+03,"06D1","OEVERKRUID-KLASSE","Naaldwaterbies-verbond","Naaldwaterbies-associatie","nvt","Naaldwaterbies-associatie","Littorello-Eleocharitetum acicularis",0,3,"6Ad1","Littorello-Eleocharitetum acicularis"
66,2.0020000000000000e+03,"07A-a","KLASSE DER BRONBEEKGEMEENSCHAPPEN","Verbond van Bittere veldkers en Bronkruid","RG Pellia","nvt","RG Pellia-[Vb. v Bittere veldkers-Bronkruid]","RG Pellia epiphylla-[Cardamino-Montion]",0,2,"7Aa3","Pellio-Conocephaletum"
67,2.0020000000000000e+03,"07A1a","KLASSE DER BRONBEEKGEMEENSCHAPPEN","Verbond van Bittere veldkers en Bronkruid","Bronkruid-associatie","Typische subassociatie","Bronkruid-associatie, typische subassociatie","Philonotido fontanae-Montietum typicum",0,1,"07AA01D","Philonotido fontanae-Montietum inops"
68,2.0020000000000000e+03,"07A1b","KLASSE DER BRONBEEKGEMEENSCHAPPEN","Verbond van Bittere veldkers en Bronkruid","Bronkruid-associatie","Subassociatie van Fijne waterranonkel","Bronkruid-associatie, subass Fijne waterranonkel","Philonotido fontanae-Montietum batrachietosum",0,1,"07AA01A","Philonotido fontanae-Montietum batrachietosum"
69,2.0020000000000000e+03,"07A1c","KLASSE DER BRONBEEKGEMEENSCHAPPEN","Verbond van Bittere veldkers en Bronkruid","Bronkruid-associatie","Subassociatie van Blauwe waterereprijs","Bronkruid-assoc., subass. v Blauwe waterereprijs","Philonotido fontanae-Montietum veronicetosum",0,1,"07AA01B","Philonotido fontanae-Montietum veronicetosum"
71,2.0020000000000000e+03,"07A2a","KLASSE DER BRONBEEKGEMEENSCHAPPEN","Verbond van Bittere veldkers en Bronkruid","Associatie van Paarbladig goudveil","Typische subassociatie","Assoc. v Paarbladig goudveil, typische subass.","Pellio-Chrysosplenietum oppositifolii typicum",0,1,"7Aa2","Pellio epiphyllae-Chrysosplenietum oppositifolii"
72,2.0020000000000000e+03,"07A2b","KLASSE DER BRONBEEKGEMEENSCHAPPEN","Verbond van Bittere veldkers en Bronkruid","Associatie van Paarbladig goudveil","Subassociatie van Gewoon diknerfmos","Ass. Paarbladig goudveil, subass Gew. diknerfmos","Pellio epiphyllae-Chrysospleni. cratoneuretosum",0,1,"7Aa2","Pellio epiphyllae-Chrysosplenietum oppositifolii"
73,2.0020000000000000e+03,"08-a","RIET-KLASSE","RG Liesgras","nvt","nvt","RG Liesgras-[Riet-klasse]","RG Glyceria maxima-[Phragmitetea]",0,5,"08RG01","RG Glyceria maxima-[Phragmitetea]"
74,2.0020000000000000e+03,"08-b","RIET-KLASSE","RG Rietgras","nvt","nvt","RG Rietgras-[Riet-klasse]","RG Phalaris arundinacea-[Phragmitetea]",0,5,"08RG09","RG Phalaris arundinacea-[Phragmitetalia]"
76,2.0020000000000000e+03,"08-d","RIET-KLASSE","RG Grote Lisdodde","nvt","nvt","RG Grote Lisdodde-[Riet-klasse]","RG Typha latifolia-[Phragmitetea]",0,5,"8-RG3-[8]","RG Typha latifolia-[Phragmitetea]"
77,2.0020000000000000e+03,"08-e","RIET-KLASSE","RG Kalmoes","nvt","nvt","RG Kalmoes-[Riet-klasse]","RG Acorus calamus-[Phragmitetea]",0,5,"8-RG4-[8]","RG Acorus calamus-[Phragmitetea]"
78,2.0020000000000000e+03,"08-f","RIET-KLASSE","RG Riet","nvt","nvt","RG Riet-[Riet-klasse]","RG Phragmites australis-[Phragmitetea]",0,5,"nvt","Phragmitetea"
79,2.0020000000000000e+03,"08-g","RIET-KLASSE","RG Gewone waterbies (verbindt met Lolio-Potentillion)","nvt","nvt","RG Gewone waterbies-[Riet-kl./Zilverschoon-vrb.]","RG Eleocharis palustris-[Phragmitetea/Lo-Potent]",0,5,"nvt","Phragmitetea"
80,2.0020000000000000e+03,"08-h","RIET-KLASSE","RG Grote egelskop","nvt","nvt","RG Grote egelskop-[Riet-klasse]","RG Sparganium erectum-[Phragmitetea]",0,3,"nvt","Phragmitetea"
81,2.0020000000000000e+03,"08-i","RIET-KLASSE","RG Mannagras (verbindt met Lolio-Potentillion)","nvt","nvt","RG Mannagras-[Riet-klasse/Zilverschoon-verbond]","RG Glyceria fluitans-[Phragmitetea/Lol-Potentil]",0,5,"08RG05","RG Glyceria fluitans-[Nasturtio-Glycerietalia]"
82,2.0020000000000000e+03,"08/a","RIET-KLASSE","DG Haak- /Slank veenmos","nvt","nvt","DG Haakveenmos - Slank veenmos-[Riet-klasse]","DG Sphagnum squarrosum-Sph. recurvum-[Phragmit.]",0,5,,
84,2.0020000000000000e+03,"08A-a","RIET-KLASSE","Vlotgras-verbond","RG Kleine watereppe","nvt","RG Kleine watereppe-[Vlotgras-verbond]","RG Berula erecta-[Sparganio-Glycerion]",0,3,,
85,2.0020000000000000e+03,"08A-b","RIET-KLASSE","Vlotgras-verbond","RG Watertorkruid","nvt","RG Watertorkruid-[Vlotgras-verbond]","RG Oenanthe aquatica-[Sparganio-Glycerion]",0,4,,
87,2.0020000000000000e+03,"08A-c","RIET-KLASSE","Vlotgras-verbond","RG Slanke waterkers","nvt","RG Slanke waterkers-[Vlotgras-verbond]","RG Rorippa microphylla-[Sparganio-Glycerion]",0,3,,
88,2.0020000000000000e+03,"08A1","RIET-KLASSE","Vlotgras-verbond","Lidsteng-associatie","nvt","Lidsteng-associatie","Eleocharito palustris-Hippuridetum",0,3,"8Aa1","Eleocharito palustris-Hippuridetum"
89,2.0020000000000000e+03,"08A2","RIET-KLASSE","Vlotgras-verbond","Associatie van Waterpeper & Blauwe waterereprijs","nvt","Associatie v Waterpeper en Blauwe waterereprijs","Polygono-Veronicetum anagallis-aquaticae",0,3,"8Aa2","Polygono-Veronicetum anagallidis-aquaticae"
90,2.0020000000000000e+03,"08A3","RIET-KLASSE","Vlotgras-verbond","Associatie van Groot moerasscherm","nvt","Associatie van Groot moerasscherm","Apietum nodiflori",0,3,"08AA03","Apietum nodiflori"
91,2.0020000000000000e+03,"08A4","RIET-KLASSE","Vlotgras-verbond","Associatie van Stomp vlotgras","nvt","Associatie van Stomp vlotgras","Glycerietum plicatae",0,3,"08AA04","Glycerietum plicatae"
92,2.0020000000000000e+03,"08A5","RIET-KLASSE","Vlotgras-verbond","Associatie van Egelskop & Pijlkruid","nvt","Associatie van Egelskop en Pijlkruid","Sagittario-Sparganietum",0,3,"08AB02","Sagittario-Sparganietum"
94,2.0020000000000000e+03,"08B-b","RIET-KLASSE","Riet-verbond","RG Klein blaasjeskruid (verbindt met Caricion lasiocarpae)","nvt","RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]","RG Utricularia minor-[Phragmition/Caricion lasi]",0,2,"nvt",
95,2.0020000000000000e+03,"08B1","RIET-KLASSE","Riet-verbond","Mattenbies-associatie","nvt","Mattenbies-associatie","Scirpetum lacustris",0,3,"08BB01","Scirpetum lacustris"
96,2.0020000000000000e+03,"08B2a","RIET-KLASSE","Riet-verbond","Associatie van Heen & Grote waterweegbree","Subassociatie van Driekantige bies","Ass. Heen-Gr.waterweegbree, sub Driekantige bies","Alismato-Scirpetum scirpetetosum triquetri",0,3,"08BB03A","Alismato-Scirpetum scirpetosum triquetri"
99,2.0020000000000000e+03,"08B2d","RIET-KLASSE","Riet-verbond","Associatie van Heen & Grote waterweegbree","Subassociatie van Waterzuring","Ass. Heen-Gr. waterweegbree, subass. Waterzuring","Alismato-Scirpetum rumicetosum",0,3,"8Bb3c","Alismato-Scirpetum maritimi rumicetosum"
100,2.0020000000000000e+03,"08B2e","RIET-KLASSE","Riet-verbond","Associatie van Heen & Grote waterweegbree","Soortenarme subassociatie","Ass. Heen en Grote waterweegbree, srt.-arme sub.","Alismato-Scirpetum inops",0,3,"8Bb3d","Alismato-Scirpetum maritimi inops"
101,2.0020000000000000e+03,"08B3a","RIET-KLASSE","Riet-verbond","Riet-associatie","Typische subassociatie","Riet-associatie, typische subassociatie","Typho-Phragmitetum typicum",0,3,"8Bb4c","Typho-Phragmitetum typicum"
102,2.0020000000000000e+03,"08B3b","RIET-KLASSE","Riet-verbond","Riet-associatie","Subassociatie van Dotterbloem","Riet-associatie, subassociatie van Dotterbloem","Typho-Phragmitetum calthetosum",0,3,"8Bb4b","Typho-Phragmitetum calthetosum"
103,2.0020000000000000e+03,"08B3c","RIET-KLASSE","Riet-verbond","Riet-associatie","Subassociatie van Moerasvaren","Riet-associatie, subassociatie van Moerasvaren","Typho-Phragmitetum thelypteridetosum",0,3,"08BB04D","Typho-Phragmitetum thelypteridetosum"
104,2.0020000000000000e+03,"08C-a","RIET-KLASSE","Verbond der Grote zeggen","RG Oeverzegge","nvt","RG Oeverzegge-[Verbond der grote Zeggen]","RG Carex riparia-[Magnocaricion]",0,3,"8Bc1","Caricetum ripariae"
105,2.0020000000000000e+03,"08C-b","RIET-KLASSE","Verbond der Grote zeggen","RG Moeraszegge","nvt","RG Moeraszegge-[Verbond der grote Zeggen]","RG Carex acutiformis-[Magnocaricion]",0,3,"8-RG8-[8B]","RG Carex acutiformis-[Phragmitetalia]"
106,2.0020000000000000e+03,"08C-c","RIET-KLASSE","Verbond der Grote zeggen","RG Pluimzegge","nvt","RG Pluimzegge-[Verbond der grote Zeggen]","RG Carex paniculata-[Magnocaricion]",0,3,"8Bd2","Caricetum paniculatae"
107,2.0020000000000000e+03,"08C-d","RIET-KLASSE","Verbond der Grote zeggen","RG Tweerijige zegge","nvt","RG Tweerijige zegge-[Verbond der grote Zeggen]","RG Carex disticha-[Magnocaricion]",0,3,"nvt","Phragmitetea"
110,2.0020000000000000e+03,"08C1b","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Waterscheerling & Hoge cyperzegge","Subassociatie van Slangewortel","Ass. Waterscheerl.-H.cyperzeg., sub Slangewortel","Cicuto-Caricetum calletosum",0,1,,
111,2.0020000000000000e+03,"08C1c","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Waterscheerling & Hoge cyperzegge","Subassociatie van Moerasvaren","Ass. Waterscheerl.-H.cyperzegge, sub Moerasvaren","Cicuto-Caricetum thelypteridetosum",0,3,"8Ba2a","Cicuto-Caricetum pseudocyperi typicum"
113,2.0020000000000000e+03,"08C2a","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Scherpe zegge","Typische subassociatie","Associatie v Scherpe zegge, typische subassoc.","Caricetum gracilis typicum",0,3,"8Bc2a","Caricetum gracilis typicum"
114,2.0020000000000000e+03,"08C2b","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Scherpe zegge","Subassociatie van Wateraardbei","Assoc. v Scherpe zegge, subass. v Wateraardbei","Caricetum gracilis potentilletosum palustri",0,1,"8Bc2b","Caricetum gracilis comaretosum"
115,2.0020000000000000e+03,"08C3","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Blaaszegge","nvt","Associatie van Blaaszegge","Caricetum vesicariae",0,1,"08BC03","Caricetum vesicariae"
116,2.0020000000000000e+03,"08C4a","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Noordse zegge","Typische subassociatie","Associatie v Noordse zegge, typische subassoc.","Lysimachio-Caricetum aquatilis typicum",0,1,"08BC04","Lysimachio-Caricetum aquatilis"
117,2.0020000000000000e+03,"08C4b","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Noordse zegge","Subassociatie van Wateraardbei","Assoc. v Noordse zegge, subass. v Wateraardbei","Lysimachio-Caricetum aquat. potentilletosum pal.",0,1,,
118,2.0020000000000000e+03,"08C5a","RIET-KLASSE","Verbond der Grote zeggen","Galigaan-associatie","Typische subassociatie","Galigaan-associatie, typische subassociatie","Cladietum marisci typicum",0,1,"8Bd1","Cladietum marisci"
119,2.0020000000000000e+03,"08C5b","RIET-KLASSE","Verbond der Grote zeggen","Galigaan-associatie","Verarmde subassociatie","Galigaan-associatie, verarmde subassociatie","Cladietum marisci inops",0,3,"8Bd1","Cladietum marisci"
120,2.0020000000000000e+03,"08C6c","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Stijve zegge","Typische subassociatie","Associatie v Stijve zegge, typische subassoc.","Caricetum elatae typicum",0,1,"8Bd3","Caricetum elatae"
121,2.0020000000000000e+03,"08C6b","RIET-KLASSE","Verbond der Grote zeggen","Associatie van Stijve zegge","Soortenarme subassociatie","Associatie v Stijve zegge, soortenarme subassoc.","Caricetum elatae inops",0,3,,
122,2.0020000000000000e+03,"09-a","KLASSE DER KLEINE ZEGGEN","RG Veenpluis/Veenmos (verbindt met Scheuchzerietea)","nvt","nvt","RG Veenpluis-Veenmos-[Kl.kl.Zegge/Kl.hoogveensl]","RG Eriophorum angustif-Sphag-[Parvocar/Scheuchz]",0,2,"10-RG3-[10]","RG Eriophorum angustifolium-Sphagnum-[Scheuchzerietea]"
123,2.0020000000000000e+03,"09-d","KLASSE DER KLEINE ZEGGEN","RG Addertong /Duinriet","nvt","nvt","RG Addertong-Duinriet-[Klasse d kleine Zeggen]","RG Ophioglossum - Calamagrostis epi.-[Parvocar.]",0,3,"9-RG1-[9]","RG Ophioglossum vulgatum-Calamagrostis epigejos-[Parvocaricetea]"
125,2.0020000000000000e+03,"09-f","KLASSE DER KLEINE ZEGGEN","RG Snavelzegge/Wateraardbei","nvt","nvt","RG Snavelzegge-Wateraardbei-[Kl. kleine Zeggen]","RG Carex rostrata - Potentilla pal.-[Parvocar.]",0,3,"nvt","Parvocaricetea"
127,2.0020000000000000e+03,"09-h","KLASSE DER KLEINE ZEGGEN","RG Wilde Gagel","nvt","nvt","RG Wilde Gagel-[Klasse der kleine Zeggen]","RG Myrica gale-[Parvocaricetea]",0,3,"9-RG4-[9Aa]","RG Myrica gale-[Caricion nigrae]"
128,2.0020000000000000e+03,"09-i","KLASSE DER KLEINE ZEGGEN","RG Gewoon veenmos en Pijpestrootje","nvt","nvt","RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]","RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]",0,3,"nvt","Parvocaricetea"
